,Type (is-a)
ID,C %
UBERON:0001062,EFO:0000001
UBERON:0000108,EFO:0000399
UBERON:0001062,EFO:0000635
CHEBI:36342,snap:MaterialEntity
CARO:0000000,EFO:0000635
FBbt:10000000,EFO:0000635
SO:0000704,snap:MaterialEntity
GO:0005623,GO:0005575
BFO:0000015,EFO:0000001
PATO:0000001,snap:SpecificallyDependentContinuant
BFO:0000019,snap:SpecificallyDependentContinuant
EO:0001001,EFO:0000727
NCBITaxon:131567,OBI:0100026
EO:0001001,EFO:0000727
BTO:0000725,CL:0000988
BTO:0000125,EFO:0000324
BTO:0000089,UBERON:0006314
EFO:0009950,EFO:0007441
BTO:0000414,EFO:0000324
BTO:0000522,UBERON:0000061
BTO:0000282,UBERON:0000061
BTO:0000574,EFO:0000324
BTO:0000570,UBERON:0002390
NCIT:C14250,snap:MaterialEntity
BTO:0000416,UBERON:0000061
BTO:0000594,MONDO:0021069
BTO:0001090,UBERON:0000061
NCIT:C14187,OBI:0100026
NCIT:C14187,OBI:0100026
NCIT:C14209,NCBITaxon:2759
NCIT:C14187,OBI:0100026
Orphanet:377788,snap:Disposition
Orphanet:208593,Orphanet:183634
Orphanet:98196,Orphanet:183530
WBls:0000075,EFO:0000399
Orphanet:118138,snap:MaterialEntity
GO:0031594,GO:0045202
Orphanet:C010,snap:MaterialEntity
BTO:0000580,EFO:0000324
BTO:0000816,CL:0000010
CL:0000000,GO:0005575
Orphanet:C001,EFO:0000001
BTO:0000669,CL:0000010
BTO:0001120,CL:0000010
BTO:0000415,EFO:0000324
BTO:0001035,CL:0000010
BTO:0000003,CL:0000010
BTO:0000067,CL:0000010
BTO:0000353,CL:0000010
NCIT:C14250,snap:MaterialEntity
UBERON:0000000,EFO:0000001
BTO:0001202,UBERON:0001062
EFO:0000992,PO:0025131
BTO:0002064,EFO:0000324
UBERON:0000105,EFO:0000399
BFO:0000001,EFO:0000001
BFO:0000002,EFO:0000001
BFO:0000003,EFO:0000001
BTO:0000000,EFO:0000001
UBERON:0000000,EFO:0000001
NCIT:C41009,EFO:0000001
RS:0000457,EFO:0000001
